seed,shots,base_noise_level,true_attack,predicted_threat,is_rejected,fidelity,bell_c_zz,tv_x,tv_y,tv_z
44,1000,0.02,NORMAL,NORMAL,False,0.9909999999999997,1.0,0.0,0.0,0.0
45,1000,0.02,NORMAL,NORMAL,False,0.9909999999999997,1.0,0.0,0.0,0.0
46,1000,0.02,NORMAL,NORMAL,False,0.9909999999999997,1.0,0.0,0.0,0.0
42,1000,0.02,FORGERY,FORGERY,True,0.981,1.0,0.482,0.04099999999999998,0.449
43,1000,0.02,FORGERY,FORGERY,True,0.981,1.0,0.482,0.04199999999999998,0.448
44,1000,0.02,FORGERY,FORGERY,True,0.981,1.0,0.482,0.04299999999999998,0.447
45,1000,0.02,FORGERY,FORGERY,True,0.981,1.0,0.482,0.04299999999999998,0.447
46,1000,0.02,FORGERY,FORGERY,True,0.981,1.0,0.483,0.04199999999999998,0.447
42,1000,0.02,IMPERSONATION,IMPERSONATION,True,0.9909999999999997,1.0,0.0,0.0,0.0
43,1000,0.02,IMPERSONATION,IMPERSONATION,True,0.9909999999999997,1.0,0.0,0.0,0.0
44,1000,0.02,IMPERSONATION,IMPERSONATION,True,0.9909999999999997,1.0,0.0,0.0,0.0
45,1000,0.02,IMPERSONATION,IMPERSONATION,True,0.9909999999999997,1.0,0.0,0.0,0.0
46,1000,0.02,IMPERSONATION,IMPERSONATION,True,0.9909999999999997,1.0,0.0,0.0,0.0
42,1000,0.02,REPLAY,REPLAY,True,0.9909999999999997,1.0,0.0,0.0,0.0
43,1000,0.02,REPLAY,REPLAY,True,0.9909999999999997,1.0,0.0,0.0,0.0
44,1000,0.02,REPLAY,REPLAY,True,0.9909999999999997,1.0,0.0,0.0,0.0
45,1000,0.02,REPLAY,REPLAY,True,0.9909999999999997,1.0,0.0,0.0,0.0
46,1000,0.02,REPLAY,REPLAY,True,0.9909999999999997,1.0,0.0,0.0,0.0
42,1000,0.02,CHANNEL_MANIPULATION,NORMAL,False,0.9649999999999999,1.0,0.026000000000000023,0.0,0.0
43,1000,0.02,CHANNEL_MANIPULATION,NORMAL,False,0.9649999999999999,1.0,0.026000000000000023,0.0,0.0
44,1000,0.02,CHANNEL_MANIPULATION,NORMAL,False,0.9649999999999999,1.0,0.026000000000000023,0.0,0.0
45,1000,0.02,CHANNEL_MANIPULATION,NORMAL,False,0.9649999999999999,1.0,0.026000000000000023,0.0,0.0
46,1000,0.02,CHANNEL_MANIPULATION,NORMAL,False,0.9639999999999997,1.0,0.027000000000000024,0.0,0.0
42,1000,0.03,NORMAL,NORMAL,False,0.9869999999999997,1.0,0.0,0.0,0.0
43,1000,0.03,NORMAL,NORMAL,False,0.9869999999999997,1.0,0.0,0.0,0.0
44,1000,0.03,NORMAL,NORMAL,False,0.9869999999999997,1.0,0.0,0.0,0.0
45,1000,0.03,NORMAL,NORMAL,False,0.9869999999999997,1.0,0.0,0.0,0.0
46,1000,0.03,NORMAL,NORMAL,False,0.9869999999999997,1.0,0.0,0.0,0.0
42,1000,0.03,FORGERY,FORGERY,True,0.976,1.0,0.478,0.04099999999999998,0.444
43,1000,0.03,FORGERY,FORGERY,True,0.976,1.0,0.478,0.04199999999999998,0.443
44,1000,0.03,FORGERY,FORGERY,True,0.976,1.0,0.478,0.04299999999999998,0.442
45,1000,0.03,FORGERY,FORGERY,True,0.976,1.0,0.478,0.04299999999999998,0.442
46,1000,0.03,FORGERY,FORGERY,True,0.976,1.0,0.479,0.04199999999999998,0.442
42,1000,0.03,IMPERSONATION,IMPERSONATION,True,0.9869999999999997,1.0,0.0,0.0,0.0
43,1000,0.03,IMPERSONATION,IMPERSONATION,True,0.9869999999999997,1.0,0.0,0.0,0.0
44,1000,0.03,IMPERSONATION,IMPERSONATION,True,0.9869999999999997,1.0,0.0,0.0,0.0
45,1000,0.03,IMPERSONATION,IMPERSONATION,True,0.9869999999999997,1.0,0.0,0.0,0.0
46,1000,0.03,IMPERSONATION,IMPERSONATION,True,0.9869999999999997,1.0,0.0,0.0,0.0
42,1000,0.03,REPLAY,REPLAY,True,0.9869999999999997,1.0,0.0,0.0,0.0
43,1000,0.03,REPLAY,REPLAY,True,0.9869999999999997,1.0,0.0,0.0,0.0
44,1000,0.03,REPLAY,REPLAY,True,0.9869999999999997,1.0,0.0,0.0,0.0
45,1000,0.03,REPLAY,REPLAY,True,0.9869999999999997,1.0,0.0,0.0,0.0
46,1000,0.03,REPLAY,REPLAY,True,0.9869999999999997,1.0,0.0,0.0,0.0
42,1000,0.03,CHANNEL_MANIPULATION,NORMAL,False,0.9599999999999996,1.0,0.027000000000000024,0.0,0.0
43,1000,0.03,CHANNEL_MANIPULATION,NORMAL,False,0.9599999999999996,1.0,0.027000000000000024,0.0,0.0
44,1000,0.03,CHANNEL_MANIPULATION,NORMAL,False,0.9599999999999996,1.0,0.027000000000000024,0.0,0.0
45,1000,0.03,CHANNEL_MANIPULATION,NORMAL,False,0.9599999999999996,1.0,0.027000000000000024,0.0,0.0
46,1000,0.03,CHANNEL_MANIPULATION,NORMAL,False,0.9589999999999996,1.0,0.028000000000000025,0.0,0.0
42,1000,0.05,NORMAL,NORMAL,False,0.9819999999999997,1.0,0.0,0.0,0.0
43,1000,0.05,NORMAL,NORMAL,False,0.9819999999999997,1.0,0.0,0.0,0.0
44,1000,0.05,NORMAL,NORMAL,False,0.9819999999999997,1.0,0.0,0.0,0.0
45,1000,0.05,NORMAL,NORMAL,False,0.9819999999999997,1.0,0.0,0.0,0.0
46,1000,0.05,NORMAL,NORMAL,False,0.9819999999999997,1.0,0.0,0.0,0.0
42,1000,0.05,FORGERY,FORGERY,True,0.96,1.0,0.473,0.04099999999999998,0.42800000000000005
43,1000,0.05,FORGERY,FORGERY,True,0.96,1.0,0.473,0.04199999999999998,0.42700000000000005
44,1000,0.05,FORGERY,FORGERY,True,0.96,1.0,0.473,0.04299999999999998,0.42600000000000005
45,1000,0.05,FORGERY,FORGERY,True,0.96,1.0,0.473,0.04299999999999998,0.42600000000000005
46,1000,0.05,FORGERY,FORGERY,True,0.959,1.0,0.474,0.04199999999999998,0.42500000000000004
42,1000,0.05,IMPERSONATION,IMPERSONATION,True,0.9819999999999997,1.0,0.0,0.0,0.0
43,1000,0.05,IMPERSONATION,IMPERSONATION,True,0.9819999999999997,1.0,0.0,0.0,0.0
44,1000,0.05,IMPERSONATION,IMPERSONATION,True,0.9819999999999997,1.0,0.0,0.0,0.0
